year,state,sector,gender,indicator,value
2023-24,Andhra Pradesh,Rural,Male,Unemployment Rate,3.8
2023-24,Arunachal Pradesh,Rural,Male,Unemployment Rate,5.4
2023-24,Assam,Rural,Male,Unemployment Rate,3.6
2023-24,Bihar,Rural,Male,Unemployment Rate,3.3
2023-24,Chhattisgarh,Rural,Male,Unemployment Rate,1.6
2023-24,Delhi,Rural,Male,Unemployment Rate,3.6
2023-24,Goa,Rural,Male,Unemployment Rate,7.1
2023-24,Gujarat,Rural,Male,Unemployment Rate,0.5
2023-24,Haryana,Rural,Male,Unemployment Rate,3.6
2023-24,Himachal Pradesh,Rural,Male,Unemployment Rate,3.2
2023-24,Jharkhand,Rural,Male,Unemployment Rate,0.8
2023-24,Karnataka,Rural,Male,Unemployment Rate,2.5
2023-24,Kerala,Rural,Male,Unemployment Rate,4.6
2023-24,Madhya Pradesh,Rural,Male,Unemployment Rate,0.6
2023-24,Maharashtra,Rural,Male,Unemployment Rate,2.8
2023-24,Manipur,Rural,Male,Unemployment Rate,4.7
2023-24,Meghalaya,Rural,Male,Unemployment Rate,3.6
2023-24,Mizoram,Rural,Male,Unemployment Rate,1.5
2023-24,Nagaland,Rural,Male,Unemployment Rate,5.5
2023-24,Odisha,Rural,Male,Unemployment Rate,2.9
2023-24,Punjab,Rural,Male,Unemployment Rate,5.1
2023-24,Rajasthan,Rural,Male,Unemployment Rate,3.5
2023-24,Sikkim,Rural,Male,Unemployment Rate,2.7
2023-24,Tamil Nadu,Rural,Male,Unemployment Rate,3.5
2023-24,Telangana,Rural,Male,Unemployment Rate,3.7
2023-24,Tripura,Rural,Male,Unemployment Rate,1.6
2023-24,Uttarakhand,Rural,Male,Unemployment Rate,4.8
2023-24,Uttar Pradesh,Rural,Male,Unemployment Rate,2.6
2023-24,West Bengal,Rural,Male,Unemployment Rate,2.2
2023-24,Andaman & N. Island,Rural,Male,Unemployment Rate,6.9
2023-24,Dadra & Nagar Haveli & Daman & Diu,Rural,Male,Unemployment Rate,4.2
2023-24,Jammu & Kashmir,Rural,Male,Unemployment Rate,3.5
2023-24,Ladakh,Rural,Male,Unemployment Rate,2.0
2023-24,Lakshadweep,Rural,Male,Unemployment Rate,1.2
2023-24,Puducherry,Rural,Male,Unemployment Rate,0.1
2023-24,Andhra Pradesh,Rural,Female,Unemployment Rate,2.9
2023-24,Arunachal Pradesh,Rural,Female,Unemployment Rate,4.6
2023-24,Assam,Rural,Female,Unemployment Rate,3.5
2023-24,Bihar,Rural,Female,Unemployment Rate,1.0
2023-24,Chhattisgarh,Rural,Female,Unemployment Rate,1.3
2023-24,Delhi,Rural,Female,Unemployment Rate,19.5
2023-24,Goa,Rural,Female,Unemployment Rate,13.8
2023-24,Gujarat,Rural,Female,Unemployment Rate,0.2
2023-24,Haryana,Rural,Female,Unemployment Rate,1.7
2023-24,Himachal Pradesh,Rural,Female,Unemployment Rate,7.0
2023-24,Jharkhand,Rural,Female,Unemployment Rate,0.1
2023-24,Karnataka,Rural,Female,Unemployment Rate,0.9
2023-24,Kerala,Rural,Female,Unemployment Rate,12.1
2023-24,Madhya Pradesh,Rural,Female,Unemployment Rate,0.3
2023-24,Maharashtra,Rural,Female,Unemployment Rate,1.1
2023-24,Manipur,Rural,Female,Unemployment Rate,6.6
2023-24,Meghalaya,Rural,Female,Unemployment Rate,6.6
2023-24,Mizoram,Rural,Female,Unemployment Rate,1.0
2023-24,Nagaland,Rural,Female,Unemployment Rate,5.8
2023-24,Odisha,Rural,Female,Unemployment Rate,2.0
2023-24,Punjab,Rural,Female,Unemployment Rate,6.2
2023-24,Rajasthan,Rural,Female,Unemployment Rate,2.7
